source,domain,grade_level,topic,title,content,educational_value,license_type,license_compliant,word_count,metadata
Khan Academy,mathematics,K-12,arithmetic basics,Mathematics: Arithmetic Basics,"Comprehensive educational content covering arithmetic basics for K-12 students. This includes interactive exercises, step-by-step explanations, practice problems, and real-world applications to build mathematical understanding and problem-solving skills.",8.5,CC BY-NC-SA,True,900,"{'common_core_aligned': True, 'interactive': True, 'grade_range': 'K-12', 'difficulty': 'progressive'}"
Khan Academy,mathematics,K-12,algebra fundamentals,Mathematics: Algebra Fundamentals,"Comprehensive educational content covering algebra fundamentals for K-12 students. This includes interactive exercises, step-by-step explanations, practice problems, and real-world applications to build mathematical understanding and problem-solving skills.",8.5,CC BY-NC-SA,True,945,"{'common_core_aligned': True, 'interactive': True, 'grade_range': 'K-12', 'difficulty': 'progressive'}"
Khan Academy,mathematics,K-12,geometry introduction,Mathematics: Geometry Introduction,"Comprehensive educational content covering geometry introduction for K-12 students. This includes interactive exercises, step-by-step explanations, practice problems, and real-world applications to build mathematical understanding and problem-solving skills.",8.5,CC BY-NC-SA,True,960,"{'common_core_aligned': True, 'interactive': True, 'grade_range': 'K-12', 'difficulty': 'progressive'}"
Khan Academy,mathematics,K-12,statistics basics,Mathematics: Statistics Basics,"Comprehensive educational content covering statistics basics for K-12 students. This includes interactive exercises, step-by-step explanations, practice problems, and real-world applications to build mathematical understanding and problem-solving skills.",8.5,CC BY-NC-SA,True,900,"{'common_core_aligned': True, 'interactive': True, 'grade_range': 'K-12', 'difficulty': 'progressive'}"
Khan Academy,mathematics,K-12,probability introduction,Mathematics: Probability Introduction,"Comprehensive educational content covering probability introduction for K-12 students. This includes interactive exercises, step-by-step explanations, practice problems, and real-world applications to build mathematical understanding and problem-solving skills.",8.5,CC BY-NC-SA,True,1005,"{'common_core_aligned': True, 'interactive': True, 'grade_range': 'K-12', 'difficulty': 'progressive'}"
Khan Academy,mathematics,K-12,calculus preparation,Mathematics: Calculus Preparation,"Comprehensive educational content covering calculus preparation for K-12 students. This includes interactive exercises, step-by-step explanations, practice problems, and real-world applications to build mathematical understanding and problem-solving skills.",8.5,CC BY-NC-SA,True,945,"{'common_core_aligned': True, 'interactive': True, 'grade_range': 'K-12', 'difficulty': 'progressive'}"
Khan Academy,mathematics,K-12,number theory,Mathematics: Number Theory,"Comprehensive educational content covering number theory for K-12 students. This includes interactive exercises, step-by-step explanations, practice problems, and real-world applications to build mathematical understanding and problem-solving skills.",8.5,CC BY-NC-SA,True,840,"{'common_core_aligned': True, 'interactive': True, 'grade_range': 'K-12', 'difficulty': 'progressive'}"
Khan Academy,mathematics,K-12,mathematical reasoning,Mathematics: Mathematical Reasoning,"Comprehensive educational content covering mathematical reasoning for K-12 students. This includes interactive exercises, step-by-step explanations, practice problems, and real-world applications to build mathematical understanding and problem-solving skills.",8.5,CC BY-NC-SA,True,975,"{'common_core_aligned': True, 'interactive': True, 'grade_range': 'K-12', 'difficulty': 'progressive'}"
Khan Academy,mathematics,K-12,problem solving strategies,Mathematics: Problem Solving Strategies,"Comprehensive educational content covering problem solving strategies for K-12 students. This includes interactive exercises, step-by-step explanations, practice problems, and real-world applications to build mathematical understanding and problem-solving skills.",8.5,CC BY-NC-SA,True,1035,"{'common_core_aligned': True, 'interactive': True, 'grade_range': 'K-12', 'difficulty': 'progressive'}"
MIT OpenCourseWare K-12,science,K-12,physics basics,Science: Physics Basics,"In-depth educational material covering physics basics designed for K-12 students. Includes hands-on experiments, theoretical foundations, practical applications, and connections to real-world phenomena to develop scientific literacy and critical thinking skills.",8.2,CC BY-NC-SA,True,954,"{'ngss_aligned': True, 'hands_on': True, 'grade_range': 'K-12', 'laboratory_component': True}"
